city,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Country
ambon,-3.6954,128.1814,87.94,70,40,6.91,1627441533,ID
mount gambier,-37.8333,140.7667,46.31,87,75,29.93,1627440769,AU
winslow,35.0242,-110.6974,80.78,45,40,1.01,1627441372,US
birao,10.2849,22.7882,69.66,96,100,5.5,1627441533,CF
salinopolis,-0.6136,-47.3561,79.23,80,92,9.86,1627441534,BR
burns lake,54.2331,-125.7533,67.42,40,93,5.61,1627441000,CA
cockburn town,21.4612,-71.1419,81.61,78,16,18.81,1627441263,TC
abu kamal,34.4506,40.9171,86.41,30,0,18.25,1627441534,SY
beloha,-25.1667,45.05,62.01,77,0,11.7,1627440924,MG
bogorodskoye,56.55,37.8833,63.12,71,95,4.16,1627441534,RU
pingdu,36.7844,119.9464,85.01,62,97,13.58,1627441535,CN
taiobeiras,-15.8078,-42.2331,60.4,52,40,1.72,1627441535,BR
puerto leguizamo,-0.1934,-74.7819,71.64,97,100,1.45,1627441535,CO
krasnoselkup,65.7,82.4667,52.45,73,98,6.04,1627441419,RU
itacare,-14.2775,-38.9967,71.1,89,0,2.82,1627441536,BR
darhan,49.4867,105.9228,70.07,65,66,5.44,1627441536,MN
zarate,-34.0981,-59.0286,46.11,62,77,9.57,1627441536,AR
emilio carranza,19.9711,-96.6114,78.71,83,91,4.36,1627441536,MX
lusambo,-4.9667,23.45,61.56,41,74,2.33,1627441537,CD
popondetta,-8.7537,148.2534,75.7,97,100,0.58,1627441537,PG
ust-tsilma,65.441,52.1498,44.38,90,100,8.14,1627441537,RU
tiznit,29.5833,-9.5,69.24,68,2,1.12,1627441538,MA
alyangula,-13.8483,136.4192,79.81,65,72,5.91,1627441538,AU
touros,-5.1989,-35.4608,74.3,89,13,10.78,1627441538,BR
deputatskiy,69.3,139.9,40.71,78,100,4.38,1627440967,RU
nayoro,44.3506,142.4578,93.25,37,3,1.57,1627441538,JP
huarmey,-10.0681,-78.1522,65.46,86,38,10.74,1627441385,PE
fernley,39.608,-119.2518,84.31,26,23,12.57,1627441539,US
bentiu,9.2333,29.8333,69.33,97,86,4.09,1627441539,SS
kieta,-6.2167,155.6333,84.24,69,99,4.45,1627441539,PG
sault sainte marie,46.5168,-84.3333,64.89,77,1,6.91,1627441330,CA
tomohon,1.3346,124.8392,85.14,59,15,4.54,1627441540,ID
warmbad,-28.45,18.7333,47.62,53,0,2.82,1627441540,NA
rjukan,59.8789,8.5941,64.04,98,100,2.37,1627441540,NO
lianzhou,24.7811,112.3825,93.78,53,7,3.78,1627441541,CN
tessalit,20.1986,1.0114,85.42,46,67,10.18,1627441377,ML
ukiah,39.1502,-123.2078,85.01,43,21,4.23,1627441218,US
henties bay,-22.116,14.2845,54.86,82,0,5.37,1627441541,NA
praia da vitoria,38.7333,-27.0667,72.75,94,75,7.16,1627440782,PT
tierranueva,21.6833,-100.5667,62.82,78,18,7.05,1627441541,MX
warrnambool,-38.3833,142.4833,49.8,77,100,27.85,1627441542,AU
sabha,27.0377,14.4283,80.69,25,0,11.05,1627441368,LY
chiang khong,20.2613,100.4046,81.43,81,89,3.06,1627441542,TH
kaseda,31.4167,130.3167,92.43,68,0,3.83,1627441542,JP
borovskoy,53.8,64.15,60.46,77,56,6.8,1627441542,KZ
millinocket,45.6573,-68.7098,64.51,63,75,4.61,1627441511,US
sinnamary,5.3833,-52.95,77.49,87,6,7.2,1627441273,GF
road town,18.4167,-64.6167,81.19,75,8,18.28,1627441543,VG
mahon,39.8885,4.2658,70.36,88,0,8.05,1627441543,ES
much,50.9167,7.4,61.02,88,75,9.22,1627441543,DE
necochea,-38.5473,-58.7368,43.03,68,100,22.48,1627441544,AR
