,city,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Date
0,nanuque,-17.8392,-40.3539,293.38,82,10,3.77,1627341607
1,svetlyy,54.675,20.1347,292.18,94,97,4.36,1627341607
2,conakry,9.538,-13.6773,298.74,86,100,4.1,1627341607
3,jizan,17.3333,42.6667,301.67,75,87,1.82,1627341608
4,ibanda,-2.7974,32.4746,290.23,44,37,2.45,1627341608
5,orange cove,36.6244,-119.3137,311.66,21,1,3.09,1627341608
6,pangnirtung,66.1451,-65.7125,286.33,84,71,1.3,1627341608
7,linjiang,41.8069,126.9078,298.95,74,22,0.35,1627341609
8,alofi,-19.0595,-169.9187,300.09,74,40,1.54,1627341609
9,tiznit,29.5833,-9.5,294.6,69,2,1.04,1627341609
10,chabahar,25.2919,60.643,301.83,87,42,3.69,1627341609
11,sattankulam,,,,,,,
12,garoua,9.3,13.4,296.5,93,96,2.69,1627341610
13,contamana,-7.3333,-75.0167,300.41,64,68,1.1,1627341610
14,pedernales,18.0384,-71.744,301.74,75,79,0.63,1627341610
15,usevya,-7.1,31.2333,289.3,53,4,3.42,1627341611
16,solnechnyy,50.7214,136.6319,293.35,96,100,0.48,1627341611
17,jiayuguan,39.8167,98.3,296.22,25,97,5.07,1627341611
18,cardston,49.2,-113.3019,306.31,17,27,3.6,1627341612
19,gheorgheni,46.7167,25.6167,287.03,82,55,1.04,1627341612
20,santa isabel,-23.3156,-46.2214,296.85,44,0,1.22,1627341612
21,san giovanni in fiore,39.2633,16.6996,293.04,32,0,2.18,1627341612
22,goderich,43.7501,-81.7165,300.32,57,0,1.03,1627341613
23,saint anthony,45.0205,-93.218,305.23,45,1,4.63,1627341613
24,nagato,34.3833,131.2,301.12,78,1,3.74,1627341613
25,dunhua,43.3725,128.2425,296.26,80,100,1.26,1627341613
26,zilair,52.2332,57.4392,282.68,69,3,1.5,1627341614
27,solsvik,,,,,,,
28,jadu,31.953,12.0261,296.87,42,0,10.76,1627341614
29,nyurba,63.2842,118.3319,295.78,64,1,2.67,1627341614
30,chikoy,,,,,,,
31,smithers,54.7804,-127.1743,288.33,82,75,0,1627341615
32,the valley,18.217,-63.0578,301.38,74,20,5.14,1627341615
33,dandong,40.1292,124.3947,298.76,78,29,1.58,1627341615
34,la orilla,17.9833,-102.2333,302.93,72,10,2.87,1627341616
35,cayenne,4.9333,-52.3333,300.98,81,0,1.34,1627341616
36,tabiauea,,,,,,,
37,martapura,-3.4167,114.85,297.2,88,7,1.03,1627341616
38,pires do rio,-17.2997,-48.2794,292.5,38,0,2.08,1627341616
39,gambela,8.25,34.5833,292.27,95,98,1.28,1627341617
40,borogontsy,62.6683,131.1683,297.38,51,33,4.72,1627341617
41,naqadeh,36.9553,45.388,297.01,46,36,1.36,1627341617
42,san luis,-33.295,-66.3356,281.64,52,28,4.95,1627341431
43,tchibanga,-2.85,11.0333,292.61,95,98,1.72,1627341618
